Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Bangladesh,1987,7,23,1987,9,24,880,,,1300000000,"2,500,000,000","Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,The 1987 Flood in Bangladesh: An Estimate of Damage in Twelve Villages()",,,,,
Bangladesh,1988,6,,1988,9,,2379,45000000,,"2,137,000,000","3,957,407,407",EM-DAT,,,,,
Bangladesh,1988,8,,1988,9,1,"2,379","45,000,000","28,000,000","2,137,000,000","3,957,407,407",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bangladesh,1990,3,3,1990,3,5,,,,"156,000",260000,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bangladesh,1990,7,14,1990,9,6,64,,,"6,000,000",10000000,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bangladesh,1991,4,29,1991,5,10,138000,,,"1,400,000,000","2,258,064,516",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bangladesh,1991,9,2,1991,9,10,65,200000,,"150,000,000","241,935,484",EM-DAT,,,,,
Bangladesh,1995,5,17,1995,5,24,41,351000,,"300,000","428,571",EM-DAT,,,,,
Bangladesh,1995,6,16,1995,6,23,250,12656006,,"200,000,000","285,714,286",EM-DAT,,,,,
Bangladesh,1995,9,29,1995,10,16,400,1250000,,"175,000,000","250,000,000",EM-DAT,,,,,
Bangladesh,1996,7,19,1996,8,2,50,,,"15,000,000","20,833,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bangladesh,1997,7,13,1997,7,13,79,900030,,"229,000,000","309,459,459",EM-DAT,,,,,
Bangladesh,1998,7,5,1998,9,22,1050,15000050,,"4,300,000,000","5,733,333,333",EM-DAT,,,,,
Bangladesh,2000,9,,2000,10,,31,2467138,,"500,000,000","632,911,392",EM-DAT,,,,,
Bangladesh,2004,6,20,2004,8,3,730,36000000,,"2,200,000,000","2,528,735,632",EM-DAT,,,,,
Bangladesh,2007,6,11,2007,6,12,120,80060,,"14,000,000","14,736,842",EM-DAT,,,,,
Bangladesh,2007,7,21,2007,8,3,1110,13771380,,"100,000,000","105,263,158",EM-DAT,,,,,
Bangladesh,2007,11,15,2007,12,1,3447,,,"1,400,000,000","1,473,684,211",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bangladesh,2014,8,11,2014,9,10,59,2800447,,"160,000,000","146,788,991",EM-DAT,,,,,
Bangladesh,1988,6,27,1988,8,15,254,,,"450,000,000","833,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Barbados,1970,10,2,1970,10,2,3,210,,"500,000","2,777,778",EM-DAT,,,,,
Belarus,1993,7,25,1993,8,12,6,,,"180,000,000","272,727,273",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Belarus,1999,3,7,1999,4,10,2,2000,,"4,380,000","5,763,158",EM-DAT,,,,,
Belgium,1993,12,20,1993,12,31,0,0,,"17,000,000","25,757,576","EM-DAT,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html",,,,,
Belgium,1998,9,12,1998,9,14,1,140,,"10,000,000","13,333,333",EM-DAT,,,,,
Belgium,2010,11,11,2010,11,15,3,690,,"238,146,000","238,146,000",EM-DAT,,,,,
Belize,1990,5,20,1990,5,20,0,0,,"2,200,000",3666666.667,EM-DAT,,,,,
Belize,1995,10,,1995,10,,0,2600,,"500,000","714,286",EM-DAT,,,,,
Belize,2008,10,19,2008,11,12,1,38000,,"9,697,000","9,794,949",EM-DAT,,,,,
Benin,1970,9,1,1970,9,,0,0,0,"200,000","1,111,111",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Benin,1985,10,10,1985,10,28,78,,,4873782,"9,946,494",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Benin,1995,7,,1995,7,,20,123000,,"3,100,000","4,428,571",EM-DAT,,,,,
Benin,1999,7,,1999,7,,3,57469,,"215,000","282,895",EM-DAT,,,,,
Bolivia,1965,12,22,1965,12,25,40,500,0,"100,000","714,286",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1966,2,,1966,3,1,0,"5,500","5,500","500,000","3,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1966,6,29,1966,7,1,14,600,600,"118,000","786,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1968,2,11,1968,2,24,24,"20,000",600,"3,000,000","18,750,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1974,2,,1974,2,8,31,"18,000","18,000","10,500,000","45,652,174",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1977,1,3,1977,1,3,10,90000,,"10,000,000","35,714,286",EM-DAT,,,,,
Bolivia,1982,3,,1982,4,8,0,"30,000",0,"400,000,000","909,090,909",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1983,3,17,1983,3,24,250,"50,000",0,"48,400,000","105,217,391",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bolivia,1986,1,6,1986,4,3,30,,,"42,000,000","84,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bolivia,1992,1,1,1992,5,26,0,0,,"100,000,000","156,250,000",EM-DAT,,,,,
Bolivia,1992,3,10,1992,3,11,4,40050,,"100,000,000","156,250,000",EM-DAT,,,,,
Bolivia,1997,2,1,1997,2,15,40,190000,,"35,000,000","47,297,297",EM-DAT,,,,,
Bolivia,1997,3,1,1997,3,4,16,0,,"35,000,000","47,297,297",EM-DAT,,,,,
Bolivia,2001,1,1,2001,3,22,41,357250,,"121,000,000","149,382,716",EM-DAT,,,,,
Bolivia,2002,2,19,2002,2,21,76,5146,,"100,000,000","121,951,220",EM-DAT,,,,,
Bolivia,2003,12,22,2003,12,26,35,,,"1,000,000","1,190,476",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bolivia,2006,1,25,2006,4,17,25,126096,,"35,000,000","38,043,478",EM-DAT,,,,,
Bolivia,2007,1,10,2007,5,1,40,339495,,"90,000,000","94,736,842",EM-DAT,,,,,
Bolivia,2007,12,15,2008,2,20,75,485000,,"500,000,000","505,050,505",EM-DAT,,,,,
Bolivia,2011,2,14,2011,4,11,52,88825,,"20,000,000","19,417,476",EM-DAT,,,,,
Bolivia,2013,1,28,2013,2,27,25,145000,,"2,500,000","2,336,449",EM-DAT,,,,,
Bosnia-Hercegovenia,2010,6,20,2010,6,22,0,14910,,"87,000,000","87,000,000",EM-DAT,,,,,
Bosnia-Hercegovenia,2014,5,13,2014,5,20,25,1000000,,"436,580,000","400,532,110",EM-DAT,,,,,
Bosnia-Herzegovina,2004,4,12,2004,5,2,,,,"15,200,000","17,471,264",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Botswana,1972,1,19,1972,1,29,0,"1,000",0,"50,000","263,158",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Botswana,2000,2,,2000,2,,3,138776,,"5,000,000","6,329,114",EM-DAT,,,,,
Brazil,1964,7,5,1964,7,1,0,"5,000","5,000","500,000","3,571,429",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1965,6,1,1965,6,1,16,"30,000","30,000","7,000,000","50,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1965,8,16,1965,9,1,6,"200,000","40,000","10,000,000","71,428,571",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1966,1,11,1966,1,11,373,"51,881","51,881","51,000,000","340,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1966,5,21,1966,6,1,147,"125,500","29,000","9,914,000","66,093,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1967,1,23,1967,2,1,785,"20,836","20,836","7,800,000","52,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1967,3,30,1967,4,1,0,"87,000",0,"5,000,000","33,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1967,9,20,1967,9,20,0,"15,000",0,"1,000,000","6,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1967,12,28,1967,12,29,35,"50,000","15,400","1,500,000","10,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1969,3,14,1969,3,17,316,"17,700","17,384","5,770,000","33,941,176",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1970,7,21,1970,7,21,172,104371,,"46,000,000","255,555,556",EM-DAT,,,,,
Brazil,1971,4,26,1971,4,26,109,13000,,"5,200,000","27,368,421",EM-DAT,,,,,
Brazil,1973,3,26,1973,3,26,20,0,,"16,000,000","80,000,000",EM-DAT,,,,,
Brazil,1974,3,,1974,4,26,205,"325,000","325,000","121,000,000","526,086,957",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
